path_name,name
06-25,S. Gulielmi Abbatis
06-25oct,Die secunda infra Octavam Nativitatis S. Joannis Baptistæ
06-26,Ss. Joannis et Pauli Martyrum
06-26oct,Die tertia infra Octavam Nativitatis S. Joannis Baptistæ
06-27oct,Quarta die infra Octavam Nativitatis S. Joannis Baptistæ
06-28,S. Irenæi Episcopi et Martyris
06-28oct,Die quinta infra Octavam Nativitatis S. Joannis Baptistæ
06-29,SS. Apostolorum Petri et Pauli
06-30,In Commemoratione S. Pauli Apostoli
06-30oct,Die septima infra Octavam Nativitatis S. Joannis Baptistæ
07-01,Pretiosissimi Sanguinis Domini Nostri Jesu Christi
07-01a,In Octava S. Joannis Baptistæ
07-01oct,Tertia die infra Octavam Ss. Apostolorum Petri et Pauli
07-02,In Visitatione B. Mariæ Virginis
07-02oct,Quarta die infra Octavam Ss. Apostolorum Petri et Pauli
07-03,S. Leonis Papæ et Confessoris
07-03oct,Quinta die infra Octavam Ss. Apostolorum Petri et Pauli
07-04oct,Sexta die infra Octavam Ss. Apostolorum Petri et Pauli
07-05,S. Antonii Mariæ Zaccaria Confessoris
07-05oct,Septima die infra Octavam Ss. Apostolorum Petri et Pauli
07-06,In Octava Ss. Apostolorum Petri et Pauli
07-07,Ss. Cyrilli et Methodii Pont. et Conf.
07-08,S. Elisabeth Reg. Portugaliæ Viduæ
07-10,"Ss. Septem Fratrum Martyrum, ac Rufinæ et Secundæ Virginum et Martyrum"
07-11,S. Pii I Papæ et Martyris
07-12,S. Joannis Gualberti Abbatis
07-13,S. Anacleti Papæ et Martyris
07-14,S. Bonaventuræ Episcopi Confessoris et Ecclesiæ Doctoris
07-15,S. Henrici Imperatoris Confessoris
07-16,Beatæ Mariæ Virginis de Monte Carmelo
07-17,S. Alexii Confessoris
07-18,S. Camilli de Lellis Confessoris
07-19,S. Vincentii a Paulo Confessoris
07-20,S. Hieronymi Æmiliani Confessoris
07-21,S. Praxedis Virginis
07-22,S. Mariæ Magdalenæ Pœnitentis
07-23,S. Apollinaris Episcopi et Martyris
07-24,In Vigilia S. Jacobi Ap.
07-25,S. Jacobi Apostoli
07-26,S. Annæ Matris B.M.V.
07-27,S. Pantaleonis Martyris
07-28,"Ss. Nazarii et Celsi Martyrum, Victoris I Papæ et Martyris ac Innocentii I Papæ et Confessoris"
07-29,S. Marthæ Virginis
07-30,Ss. Abdon et Sennen Martyrum
07-31,S. Ignatii Confessoris
08-01,S. Petri ad Vincula
08-02,S. Alfonsi Mariæ de Ligorio Episc. Conf. et Eccles. Doct.
08-03,De Inventione S. Stephani Protomartyris
08-04,S. Dominici Confessoris
08-05,S. Mariæ ad Nives
08-06,In Transfiguratione Domini Nostri Jesu Christi
08-07,S. Cajetani Confessoris
08-08,"Ss. Cyriaci, Largi et Smaragdi Martyrum"
08-09,S. Joannis Mariæ Vianney Confessoris
08-10,S. Laurentii Martyris
08-11,"Ss. Tiburtii et Susannæ Virginis, Martyrum"
08-11oct,Secunda die infra Octavam S. Laurentii Martyris
08-12,S. Claræ Virginis
08-12oct,Tertia die infra Octavam S. Laurentii Martyris
08-13,Ss. Hippolyti et Cassiani Martyrum
08-13oct,Quarta die infra Octavam S. Laurentii Martyris
08-14,In Vigilia Assumptionis B.M.V.
08-14oct,Quinta die infra Octavam S. Laurentii Martyris
08-15,In Assumptione Beatæ Mariæ Virginis
08-16,"S. Joachim Confessoris, Patris B. M. V."
08-16bmv,Secunda die infra Octavam Assumptionis B.M.V.
08-16oct,Septima die infra Octavam S. Laurentii Martyris
08-17,S. Hyacinthi Confessoris
08-17bmv,Tertia die infra Octavam Assumptionis B.M.V.
08-18bmv,Quarta die infra Octavam S. Assumptionis
08-19,S. Joannis Eudes Confessoris
08-19bmv,Quinta die infra Octavam Assumptionis B.M.V.
08-20,S. Bernardi Abbatis et Ecclesiæ Doctoris
08-20bmv,Sexta die infra Octavam Assumptionis B.M.V.
08-21,S. Joannæ Franciscæ Frémiot de Chantal Viduæ
08-21bmv,Septima die infra Octavam Assumptionis
08-22,Immaculati Cordis Beatæ Mariæ Virginis
08-23,S. Philippi Benitii Confessoris
08-24,S. Bartholomæi Apostoli
08-25,S. Ludovici Regis Franciæ Confessoris
08-26,S. Zephyrini Papæ et Martyris
08-27,S. Josephi Calasanctii Confessoris
08-28,S. Augustini Episcopi et Confessoris et Ecclesiæ Doctoris
08-29,In Decollatione S. Joannis Baptistæ
08-30,S. Rosæ a Sancta Maria Limange Virginis
08-31,S. Raymundi Nonnati Confessoris
09-01,S. Ægidii Abbatis
09-02,S. Stephani Hungariæ Regis Confessoris
09-03,S. Pii X Papæ Confessoris
09-05,S. Laurentii Justiniani Episcopi et Confessoris
09-08,Nativitate Beatæ Mariæ Virginis
09-09,S. Gorgonii Martyris
09-09bmv,Secunda die infra Octavam S. Nativitatis Beatæ Mariæ Virginis
09-10,S. Nicolai de Tolentino Confessoris
09-10bmv,Tertia die infra Octavam S. Nativitatis Beatæ Mariæ Virginis
09-11,Ss. Proti et Hyacinthi Martyrum
09-11bmv,Quarta die infra Octavam Nativitatis Beatæ Mariæ Virginis
09-12,S. Nominis Beatæ Mariæ Virginis
09-12bmv,Quinta die infra Octavam Nativitatis Beatæ Mariæ Virginis
09-13bmv,Sexta die infra Octavam Nativitatis Beatæ Mariæ Virginis
09-14,In Exaltatione Sanctæ Crucis
09-14bmv,Septima die infra Octavam Nativitatis Beatæ Mariæ Virginis
09-15,Septem Dolorum Beatæ Mariæ Virginis
09-16,"Ss. Cornelii Papæ et Cypriani Episcopi, Martyrum"
09-17,Impressionis Stigmatum S. Francisci
09-18,S. Josephi de Cupertino Confessoris
09-19,S. Januarii Episcopi et Sociorum Martyrum
09-20,Ss. Eustachii et Sociorum Martyrum
09-21,S. Matthæi Apostoli et Evangelistæ
09-22,S. Thomæ de Villanova Episcopi et Confessoris
09-23,S. Lini Papæ et Martyris
09-24,Beatæ Mariæ Virginis de Mercede
09-26,"Ss. Cypriani et Justinæ Virginis, Martyrum"
09-27,Ss. Cosmæ et Damiani Martyrum
09-28,S. Wenceslai Ducis et Martyris
09-29,In Dedicatione S. Michaëlis Archangelis
09-30,S. Hieronymi Presbyteris Confessoris et Ecclesiæ Doctoris
10-01,S. Remigii Episcopi et Confessoris
10-02,Ss. Angelorum Custodum
10-03,S. Theresiæ a Jesu Infante Virginis
10-04,S. Francisci Confessoris
10-05,Ss. Placidi et Sociorum Martyrum
